L.p;Nazwa polska;odmiana;dostępmość;nazwa łacińska;opis;Foto;wielkość;doniczka;cena;kATEGORIA
1;Jodła balsamiczna ;Nana;N;Abies balsamea ;Odmiana karłowa o pokroju kopulastym, igły krótkie o ciemnozielonej barwie, gęsto osadzone na pędzie.;ABIES- BALSAMEA-NANA.jpg;20-30;P13;16;1
2;Cyprysik Lawsona ;Alumigold;N;Chamaecyparis lawsoniana ;Pokrój stożkowy, barwa zielonożółta, jesienią pędy nieznacznie zielenieją.;zdjcia\CHAMAECYPARIS-LAWSONIANA-ALUMI-I-GOLD.jpg;40-55;P13;7;1
3;Cyprysik Lawsona ;Alumii;P;Chamaecyparis lawsoniana' ;Pokrój stożkowy, pędy lekko przewisające, barwa niebieska, dobra odmiana na żywopłoty.;zdjcia\Ch.law.Alumii.jpg;40-60;P13;7;1
4;Cyprysik Lawsona ;Bautchensis;D;Chamaecyparis lawsoniana ;Pokrój jajowaty, zwarty, wzrost wolny, barwa łusek niebieska.;zdjcia\Ch.laws.Boutchensis.jpg;30-40;P13;7;1
5;Cyprysik Lawsona ;Blue Ribbon;N;Chamaecyparis lawsoniana  ;Forma wąskokolumnowa, łuski o intensywnej niebieskiej barwie.;zdjcia\Chamaecyparis-lawsoniana-Blue Ribbon.jpg;;P13;;3
;Cyprysik Lawsona ;Columnaris;N;Chamaecyparis lawsoniana  ;Pokrój kolumnowy, barwa jasnoniebieska, wzrost dość silny. Odmiana o kolumnowym pokroju, mocne niebieskie wybarwienie łusek.;zdjcia\Ch.laws.Columnaris.jpg;;P13;;1
7;Cyprysik Lawsona ;Ellwood’s Empire;N;Chamaecyparis lawsoniana ;Pokrój kolumnowy, gęsty, średnia siła wzrostu, pędy z drobnymi igiełkami o żółtej barwie.;zdjcia\Cham.laws.Ellwoods-Empire.jpg;;P13;;2
8;Cyprysik Lawsona ;Ellwood’s Gold;N;Chamaecyparis lawsoniana ;Pokrój kolumnowy, gęsty, średnia siła wzrostu, pędy igiełkowe, barwa złota do jasnozielonej.;zdjcia\Cham.laws.Ellwods-Gold.jpg;;P13;;4
9;Cyprysik Lawsona ;Erecta Viridis;P;Chamaecyparis lawsoniana  ;Forma kolumnowa, zwarta, wzrost średni, barwa igieł zielona.;;;P13;;1
10;Cyprysik Lawsona ;Forsteckensis;N;Chamaecyparis lawsoniana  ;Pokrój kulisty, zwarty, młode przyrosty krótkie, po 10 latach osiąga wysokość ok. 40 centymetrów, igły o barwie ciemnoszarej.;;;P13;;1
11;Cyprysik Lawsona ;Globe;N;Chamaecyparis lawsoniana  ;Pokrój kulisty, zwarty, pędy przewisające, wachlarzowate, barwa igieł niebieskozielona.;;;P13;;1
12;Cyprysik Lawsona ;Golden King;N;Chamaecyparis lawsoniana ;Pokrój stożkowy, szeroki, igły o intensywnie żółtym zabarwieniu, wzrost silny, pędy silniej przewisające niż u „Golden Wonder”.;;;P13;;1
